"","土地面積","建物面積","屋齡","房屋樓層","車位數目","有無管理","時間序列","單價萬_坪","lon","lat","road.name","price.level","X"
"3149",18.07,25.30715,1,"15",2,1,6,244961.983471074,120.95295,24.798182,"新竹市新竹巿經國路三段92巷16弄31~60號","20~25W",1078
"3150",18.07,49.982075,1,"15",2,1,6,129044.628099174,120.952672,24.798435,"新竹市新竹巿經國路三段92巷16弄31~60號","10~15W",1079
"3151",18.94,25.8093,1,"15",2,1,6,254975.20661157,120.952801,24.798318,"新竹市新竹巿經國路三段92巷16弄31~60號",">25W",1080
"3152",18.94,25.8093,1,"15",2,1,6,253814.876033058,120.952801,24.798309,"新竹市新竹巿經國路三段92巷16弄31~60號",">25W",1081
"3153",17.21,43.387575,1,"15",1,1,6,140591.73553719,120.95293,24.798191,"新竹市新竹巿經國路三段92巷16弄31~60號","10~15W",1082
"3154",17.21,21.946375,1,"15",1,1,6,290707.438016529,120.95292,24.7982,"新竹市新竹巿經國路三段92巷16弄1~30號",">25W",1083
"3155",18.07,50.774625,1,"15",2,1,6,131166.94214876,120.952811,24.7983,"新竹市新竹巿經國路三段92巷16弄1~30號","10~15W",1084
"3156",18.07,52.998,1,"15",2,1,6,121137.190082645,120.952831,24.798281,"新竹市新竹巿經國路三段92巷16弄1~30號","10~15W",1085
"3157",19.8,53.763325,1,"15",2,1,6,127966.94214876,120.952959,24.798164,"新竹市新竹巿經國路三段92巷16弄1~30號","10~15W",1086
"3158",13.77,40.241575,1,"15",2,1,6,124251.239669421,120.95286,24.798263,"新竹市新竹巿經國路三段92巷1~30號","10~15W",1087
"3159",11.19,29.6934,1,"15",1,1,6,138079.338842975,120.953029,24.798101,"新竹市新竹巿經國路三段92巷1~30號","10~15W",1088
"3160",11.19,31.281525,1,"15",1,1,6,133626.446280992,120.952959,24.798164,"新竹市新竹巿經國路三段92巷1~30號","10~15W",1089
